title,text,subject,date
True Title 0,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 1,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 2,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 3,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 4,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 5,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 6,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 7,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 8,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 9,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 10,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 11,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 12,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 13,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 14,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 15,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 16,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 17,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 18,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 19,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 20,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 21,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 22,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 23,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 24,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 25,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 26,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 27,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 28,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 29,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 30,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 31,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 32,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 33,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 34,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 35,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 36,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 37,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 38,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 39,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 40,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 41,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 42,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 43,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 44,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 45,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 46,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
