title,text,subject,date
Fake Title 0,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 1,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 2,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 3,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 4,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 5,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 6,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 7,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 8,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 9,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 10,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 11,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 12,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 13,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 14,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 15,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 16,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 17,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 18,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 19,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 20,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 21,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 22,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 23,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 24,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 25,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 26,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 27,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 28,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 29,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 30,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 31,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 32,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 33,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 34,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 35,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 36,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 37,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 38,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 39,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 40,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 41,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 42,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 43,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 44,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 45,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 46,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 47,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 48,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 49,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 50,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 51,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 52,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 53,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 54,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 55,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 56,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 57,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 58,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 59,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 60,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 61,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 62,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 63,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 64,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 65,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 66,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 67,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 68,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 69,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 70,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 71,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 72,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 73,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 74,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 75,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 76,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 77,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 78,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 79,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 80,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 81,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 82,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 83,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 84,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 85,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 86,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 87,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 88,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 89,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 90,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 91,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 92,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 93,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 94,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
Fake Title 95,"The earth is actually flat, say new scientists.",News,"January 1, 2024"
Fake Title 96,"Aliens have landed in central park, government covering it up.",News,"January 1, 2024"
Fake Title 97,"Drinking bleach cures all known diseases, including the flu.",News,"January 1, 2024"
Fake Title 98,Elections were completely rigged by a secret society.,News,"January 1, 2024"
Fake Title 99,This weird trick will make you a millionaire overnight!,News,"January 1, 2024"
