text,clean_text,label
"The earth is actually flat, say new scientists.",earth actually flat say new scientist,0
The local sports team won the championship game last night.,local sport team championship game last night,1
The stock market saw huge gains today following the tech earnings reports.,stock market saw huge gain today following tech earnings report,1
This weird trick will make you a millionaire overnight!,weird trick make millionaire overnight,0
The president announced a new policy regarding international trade.,president announced new policy regarding international trade,1
"Aliens have landed in central park, government covering it up.",alien landed central park government covering,0
Scientists discover a new species of frog in the Amazon rainforest.,scientist discover new specie frog amazon rainforest,1
Elections were completely rigged by a secret society.,election completely rigged secret society,0
The city council voted to approve the new infrastructure budget.,city council voted approve new infrastructure budget,1
"Drinking bleach cures all known diseases, including the flu.",drinking bleach cure known disease including flu,0
