source,headline,description,url,reliability
TOI,India's GDP grows at 7.2% in Q3 2024,India's economy expanded by 7.2% in the third quarter of 2024 driven by strong manufacturing and services sector growth,https://timesofindia.com/article1,0.9
TOI,PM Modi launches new infrastructure initiative worth Rs 10 lakh crore,Prime Minister Narendra Modi inaugurated a major infrastructure push targeting roads highways and railways across rural India,https://timesofindia.com/article2,0.9
TOI,RBI keeps repo rate unchanged at 6.5% in latest monetary policy review,The Reserve Bank of India maintained the benchmark repo rate at 6.5% citing inflation control and economic stability,https://timesofindia.com/article3,0.9
TOI,India beats Pakistan in ICC Champions Trophy final by 6 wickets,Team India secured a dominant victory over Pakistan in the ICC Champions Trophy final held in Dubai,https://timesofindia.com/article4,0.9
TOI,ISRO successfully launches PSLV-C58 mission with Earth observation satellite,Indian Space Research Organisation achieved another milestone by successfully launching PSLV-C58 carrying a new Earth observation satellite,https://timesofindia.com/article5,0.9
TOI,Supreme Court upholds validity of new citizenship amendment rules,The Supreme Court of India in a landmark judgment upheld the constitutional validity of the Citizenship Amendment Act rules,https://timesofindia.com/article6,0.9
TOI,Delhi records worst air quality of the year AQI crosses 450,New Delhi's air quality plunged to severe levels with the Air Quality Index crossing 450 amid vehicular and industrial pollution,https://timesofindia.com/article7,0.9
TOI,India launches UPI payment system in 10 new countries,India's Unified Payments Interface has been expanded to 10 new countries enabling seamless cross-border digital transactions,https://timesofindia.com/article8,0.9
TOI,Mumbai local train services disrupted due to heavy monsoon rains,Heavy rainfall lashed Mumbai causing waterlogging on tracks and disruption of local train services across the city,https://timesofindia.com/article9,0.9
TOI,Government announces free electricity up to 300 units under PM Surya Ghar scheme,The central government rolled out the PM Surya Ghar Muft Bijli Yojana offering free electricity of up to 300 units per month,https://timesofindia.com/article10,0.9
TOI,India becomes world's third largest economy surpassing Japan,India has overtaken Japan to become the world's third largest economy according to IMF projections for 2025,https://timesofindia.com/article11,0.9
TOI,New education policy NEP 2020 fully implemented across all states,The National Education Policy 2020 has been fully implemented across all Indian states with focus on regional languages and skill development,https://timesofindia.com/article12,0.9
TOI,Chandrayaan-4 mission to be launched in 2026 says ISRO chief,ISRO chief announced that Chandrayaan-4 mission targeting lunar sample return will be launched in 2026,https://timesofindia.com/article13,0.9
TOI,India signs free trade agreement with European Union,India and the European Union signed a comprehensive free trade agreement after years of negotiations covering goods services and investments,https://timesofindia.com/article14,0.9
